id,make,model,year,color,price,mileage,condition,fuel_type,days_in_inventory,avg_market_price,price_difference,percent_difference,is_opportunity,market_demand,avg_days_to_sell
1,Kia,Telluride,2020,Green,32521,40776,Excellent,Hybrid,39,30105,-2416,-8.03,False,Low,30
2,Ford,Explorer,2012,Silver,8729,217198,Fair,Hybrid,23,13222,4493,33.98,True,High,51
4,Mercedes,S-Class,2015,Orange,33425,182479,Poor,Diesel,87,44882,11457,25.53,True,High,60
6,BMW,7 Series,2014,Brown,7754,199513,Poor,Gasoline,12,8262,508,6.15,False,High,54
7,BMW,5 Series,2021,Orange,60586,35067,Good,Electric,82,52291,-8295,-15.86,False,High,58
8,Hyundai,Elantra,2011,Orange,15153,166821,Fair,Gasoline,15,13137,-2016,-15.35,False,Low,45
10,Hyundai,Santa Fe,2020,Black,11258,85783,Poor,Gasoline,90,10099,-1159,-11.48,False,High,26
12,Kia,Soul,2020,Orange,22495,58734,Fair,Electric,2,25860,3365,13.01,True,Medium,38
13,Toyota,RAV4,2014,White,15533,171011,Poor,Gasoline,32,10403,-5130,-49.31,False,Medium,44
14,Tesla,Model 3,2014,Red,11911,86982,Good,Hybrid,48,11447,-464,-4.05,False,Low,20
15,Audi,A8,2019,Blue,19810,38784,Good,Hybrid,36,16875,-2935,-17.39,False,High,39
16,Honda,CR-V,2022,Orange,24035,18490,Good,Electric,75,22410,-1625,-7.25,False,High,41
18,Kia,Telluride,2018,Black,14039,69493,Poor,Hybrid,50,15174,1135,7.48,False,Low,51
20,Tesla,Model Y,2016,Brown,20766,141149,Poor,Hybrid,5,16106,-4660,-28.93,False,High,42
21,Mercedes,GLE,2021,Brown,18025,49011,Poor,Gasoline,62,20458,2433,11.89,True,Medium,43
22,Honda,CR-V,2012,White,6204,103387,Good,Diesel,32,11003,4799,43.62,True,Low,46
23,Tesla,Model X,2013,Orange,20195,182177,Fair,Diesel,77,19061,-1134,-5.95,False,Low,46
24,Toyota,RAV4,2016,Blue,26784,119862,Poor,Electric,32,30214,3430,11.35,True,Low,22
25,Mercedes,GLE,2011,Red,9690,189029,Poor,Electric,20,9020,-670,-7.43,False,High,20
26,BMW,5 Series,2018,Black,36486,59470,Good,Electric,29,44266,7780,17.58,True,High,31
27,BMW,5 Series,2022,Brown,47464,23413,Fair,Electric,21,46731,-733,-1.57,False,Medium,26
28,Mercedes,E-Class,2022,Black,75250,29571,Good,Gasoline,22,48230,-27020,-56.02,False,Low,24
29,Tesla,Model Y,2022,White,35585,21189,Excellent,Gasoline,72,40089,4504,11.24,True,Low,22
33,Tesla,Model Y,2011,White,13557,201384,Poor,Hybrid,27,13386,-171,-1.28,False,Medium,59
34,BMW,3 Series,2023,Brown,39634,9057,Good,Electric,81,40245,611,1.52,False,High,26
35,Chevrolet,Silverado,2018,Red,33635,103914,Fair,Diesel,8,34837,1202,3.45,False,High,48
38,Tesla,Model X,2010,Red,12922,161135,Good,Hybrid,84,11289,-1633,-14.47,False,Low,43
39,Honda,Odyssey,2020,Red,4952,59531,Poor,Electric,78,22897,17945,78.37,True,Low,30
40,Kia,Forte,2018,Red,13946,80523,Fair,Gasoline,54,13564,-382,-2.82,False,Low,43
41,Hyundai,Tucson,2015,Brown,12787,59213,Excellent,Electric,38,14697,1910,13.0,True,Medium,42
42,Hyundai,Palisade,2024,Silver,30381,0,Good,Diesel,59,28741,-1640,-5.71,False,Medium,51
43,Toyota,Tacoma,2010,Red,12313,109534,Good,Electric,26,6379,-5934,-93.02,False,High,50
44,Hyundai,Palisade,2010,Orange,4413,173561,Good,Electric,6,4917,504,10.25,True,Medium,26
45,Honda,Accord,2021,Blue,8070,68902,Poor,Gasoline,58,7714,-356,-4.61,False,High,31
46,Honda,CR-V,2021,White,16764,31682,Good,Electric,16,20291,3527,17.38,True,High,42
48,Honda,Odyssey,2019,Yellow,46795,38005,Excellent,Hybrid,77,26888,-19907,-74.04,False,High,32
49,Toyota,Corolla,2011,Silver,5545,104442,Good,Diesel,53,6297,752,11.94,True,Medium,21
51,Tesla,Model 3,2020,Orange,6758,39656,Fair,Gasoline,9,32329,25571,79.1,True,High,30
52,BMW,5 Series,2024,Gray,34899,0,Fair,Diesel,40,31008,-3891,-12.55,False,High,51
54,Tesla,Model Y,2017,Red,5683,91010,Poor,Electric,74,13033,7350,56.4,True,Low,40
55,Chevrolet,Tahoe,2015,Orange,6607,90141,Good,Hybrid,75,7433,826,11.11,True,High,37
56,BMW,3 Series,2015,Black,19427,87666,Excellent,Hybrid,57,17595,-1832,-10.41,False,Low,34
57,Kia,Sorento,2022,Blue,33944,18455,Good,Gasoline,61,29523,-4421,-14.97,False,Medium,34
58,Hyundai,Elantra,2022,Green,22589,33112,Poor,Electric,20,18599,-3990,-21.45,False,Medium,31
59,Ford,Edge,2012,Red,6570,200390,Fair,Electric,36,6501,-69,-1.06,False,High,33
60,Kia,Telluride,2011,Green,4504,171387,Good,Electric,67,4431,-73,-1.65,False,Medium,27
61,Mercedes,E-Class,2022,Yellow,26190,23036,Excellent,Electric,59,58044,31854,54.88,True,Medium,37
62,Mercedes,GLC,2024,Green,17778,0,Fair,Gasoline,53,15113,-2665,-17.63,False,Low,51
63,Tesla,Model S,2011,Green,2924,174913,Fair,Diesel,52,2632,-292,-11.09,False,High,59
64,Mercedes,GLE,2011,Blue,18993,280756,Poor,Electric,82,8602,-10391,-120.8,False,High,40
65,BMW,X3,2010,White,19398,145151,Fair,Gasoline,55,19795,397,2.01,False,High,56
66,Mercedes,E-Class,2010,Red,9232,213232,Good,Gasoline,81,17195,7963,46.31,True,Low,22
67,Ford,Explorer,2013,Gray,16327,85385,Excellent,Electric,17,11903,-4424,-37.17,False,Medium,46
68,Toyota,Highlander,2010,Black,7906,146689,Good,Diesel,60,11790,3884,32.94,True,Low,28
69,BMW,X5,2010,Black,3672,103869,Excellent,Hybrid,82,3374,-298,-8.83,False,Medium,42
70,Honda,Odyssey,2024,Black,15664,0,Poor,Hybrid,64,16699,1035,6.2,False,High,26
71,Chevrolet,Tahoe,2013,Brown,23259,142590,Good,Electric,58,20993,-2266,-10.79,False,High,45
72,Tesla,Model S,2018,Silver,7465,140900,Poor,Diesel,22,12991,5526,42.54,True,Medium,51
73,Toyota,RAV4,2014,Blue,7278,120613,Excellent,Hybrid,87,11399,4121,36.15,True,Low,42
74,Ford,F-150,2022,White,15091,35126,Poor,Gasoline,43,17276,2185,12.65,True,High,49
75,BMW,X5,2019,Brown,6498,56600,Fair,Hybrid,86,6837,339,4.96,False,Low,36
76,BMW,X3,2018,Red,36003,100513,Fair,Electric,71,25051,-10952,-43.72,False,Medium,52
77,Mercedes,C-Class,2023,Blue,22662,15692,Fair,Diesel,61,15931,-6731,-42.25,False,Medium,45
78,Mercedes,C-Class,2017,Gray,20801,67005,Good,Electric,56,25619,4818,18.81,True,Low,41
79,Ford,Edge,2021,Yellow,26633,17970,Excellent,Diesel,55,19214,-7419,-38.61,False,Medium,29
81,BMW,3 Series,2024,Blue,13757,0,Good,Diesel,87,32728,18971,57.97,True,Low,58
84,Ford,Escape,2022,Black,20820,29257,Poor,Gasoline,79,21748,928,4.27,False,Low,40
85,Mercedes,C-Class,2020,Orange,45571,30996,Excellent,Diesel,30,43367,-2204,-5.08,False,High,36
86,BMW,5 Series,2018,Green,47762,87282,Fair,Electric,90,44677,-3085,-6.91,False,Medium,36
87,Toyota,Camry,2011,Black,11712,145643,Excellent,Gasoline,25,11749,37,0.31,False,High,52
88,BMW,5 Series,2018,Gray,45199,81212,Poor,Electric,27,34832,-10367,-29.76,False,Low,28
89,Ford,Explorer,2018,Gray,43058,64129,Excellent,Electric,75,28359,-14699,-51.83,False,Low,55
91,Ford,F-150,2015,Black,11326,113427,Good,Hybrid,16,12926,1600,12.38,True,Low,45
93,Kia,Forte,2021,White,25701,47290,Fair,Diesel,83,22717,-2984,-13.14,False,Medium,47
