make,model,year,color,condition,price,mileage,type
Toyota,Camry,2022,green,excellent,25000,15000,sedan
Honda,Civic,2021,blue,good,22000,25000,sedan
Toyota,Prius,2022,green,excellent,28000,12000,hybrid
Ford,Focus,2020,red,fair,18000,45000,hatchback
Honda,Accord,2021,green,good,26000,18000,sedan
BMW,X5,2023,black,excellent,55000,8000,suv
Mercedes,C300,2022,silver,excellent,45000,12000,sedan
Audi,A4,2021,white,good,38000,22000,sedan
Tesla,Model 3,2023,red,excellent,52000,5000,electric
Hyundai,Elantra,2020,gray,fair,16000,38000,sedan
Toyota,RAV4,2022,blue,excellent,32000,10000,suv
Honda,CR-V,2021,white,good,29000,20000,suv
Ford,F-150,2023,black,excellent,45000,15000,truck
Chevrolet,Malibu,2020,green,good,19000,35000,sedan
Nissan,Altima,2021,silver,good,23000,28000,sedan
Volkswagen,Jetta,2022,red,excellent,24000,8000,sedan
Mazda,CX-5,2021,blue,good,27000,22000,suv
Subaru,Outback,2022,green,excellent,31000,12000,wagon
Kia,Optima,2020,white,fair,17000,40000,sedan
Lexus,RX350,2023,black,excellent,48000,6000,suv
Acura,TLX,2021,gray,good,35000,18000,sedan
Infiniti,Q50,2022,silver,excellent,42000,9000,sedan
Volvo,XC90,2023,blue,excellent,58000,7000,suv
Jaguar,XE,2021,red,good,39000,25000,sedan
Porsche,Cayenne,2022,white,excellent,75000,5000,suv
Land Rover,Discovery,2023,green,excellent,68000,4000,suv
Mini,Cooper,2021,yellow,good,28000,20000,coupe
Fiat,500,2020,orange,fair,15000,42000,hatchback
Alfa Romeo,Giulia,2022,red,excellent,41000,8000,sedan
Maserati,Ghibli,2023,black,excellent,79000,3000,sedan
Ferrari,488,2022,red,excellent,275000,2000,sports
Tesla,Model Y,2023,white,excellent,58000,6000,electric
Tesla,Model S,2022,black,excellent,89000,8000,electric
Rivian,R1T,2023,blue,excellent,95000,3000,electric
Lucid,Air,2023,silver,excellent,125000,1500,electric
Polestar,2,2022,gray,excellent,48000,7000,electric
Genesis,G90,2023,black,excellent,72000,5000,sedan
Cadillac,Escalade,2022,white,excellent,78000,12000,suv
Lincoln,Navigator,2023,silver,excellent,82000,8000,suv
Buick,Enclave,2021,blue,good,35000,22000,suv
GMC,Sierra,2022,red,excellent,49000,10000,truck
Ram,1500,2023,black,excellent,51000,9000,truck
Jeep,Wrangler,2021,green,good,38000,18000,suv
Chrysler,300,2020,silver,fair,22000,35000,sedan
Dodge,Charger,2022,orange,excellent,36000,11000,sedan
Plymouth,Prowler,1999,purple,good,45000,50000,sports
Pontiac,GTO,2005,yellow,fair,28000,65000,coupe
Oldsmobile,Aurora,2001,gold,poor,8000,120000,sedan
Saturn,Sky,2007,red,good,18000,75000,roadster
Hummer,H2,2006,black,fair,32000,95000,suv
Saab,9-3,2008,blue,good,12000,85000,sedan 
